Stock,Region,Area,BY,S,R
Nooksack,Puget Sound,South,1959,30,197.7
Nooksack,Puget Sound,South,1961,100,630.69
Nooksack,Puget Sound,South,1963,150,33.72
Nooksack,Puget Sound,South,1965,15.25,75.46
Nooksack,Puget Sound,South,1967,20.38,45.23
Nooksack,Puget Sound,South,1969,22.82,111.51
Nooksack,Puget Sound,South,1971,64.06,163.7
Nooksack,Puget Sound,South,1973,42.35,113.34
Nooksack,Puget Sound,South,1975,37.9,56.82
Nooksack,Puget Sound,South,1977,19.47,264.55
Nooksack,Puget Sound,South,1979,48.77,109.12
Nooksack,Puget Sound,South,1981,26.81,107.98
Nooksack,Puget Sound,South,1983,66.97,48.01
Nooksack,Puget Sound,South,1985,24.91,89.42
Nooksack,Puget Sound,South,1987,32.69,300.71
Nooksack,Puget Sound,South,1989,126.01,122.62
Nooksack,Puget Sound,South,1991,21.3,98.32
Nooksack,Puget Sound,South,1993,51.68,291.34
Nooksack,Puget Sound,South,1995,207.11,62
Skagit,Puget Sound,South,1959,200,666.29
Skagit,Puget Sound,South,1961,400,4946.24
Skagit,Puget Sound,South,1963,1190,286.53
Skagit,Puget Sound,South,1965,150,253.09
Skagit,Puget Sound,South,1967,100,152.49
Skagit,Puget Sound,South,1969,100,494.19
Skagit,Puget Sound,South,1971,300.56,493.08
Skagit,Puget Sound,South,1973,251.18,200.35
Skagit,Puget Sound,South,1975,103.14,902.12
Skagit,Puget Sound,South,1977,504.92,983.26
Skagit,Puget Sound,South,1979,300.38,362.55
Skagit,Puget Sound,South,1981,100.27,541.28
Skagit,Puget Sound,South,1983,470.13,1287.76
Skagit,Puget Sound,South,1985,710.03,1059.25
Skagit,Puget Sound,South,1987,593.54,1281.52
Skagit,Puget Sound,South,1989,401.3,618.18
Skagit,Puget Sound,South,1991,351,701.79
Skagit,Puget Sound,South,1993,530,1557.37
Skagit,Puget Sound,South,1995,857,109.77
Stillaguamish,Puget Sound,South,1959,125,222.83
Stillaguamish,Puget Sound,South,1961,125,2258.77
Stillaguamish,Puget Sound,South,1963,640,326.27
Stillaguamish,Puget Sound,South,1965,185,244.63
Stillaguamish,Puget Sound,South,1967,105,114.66
Stillaguamish,Puget Sound,South,1969,75,303.73
Stillaguamish,Puget Sound,South,1971,200,63.83
Stillaguamish,Puget Sound,South,1973,35,55.99
Stillaguamish,Puget Sound,South,1975,30,69.32
Stillaguamish,Puget Sound,South,1977,38,263.07
Stillaguamish,Puget Sound,South,1979,135,42.49
Stillaguamish,Puget Sound,South,1981,18,164.25
Stillaguamish,Puget Sound,South,1983,126.1,375.19
Stillaguamish,Puget Sound,South,1985,200,175.17
Stillaguamish,Puget Sound,South,1987,119,312.05
Stillaguamish,Puget Sound,South,1989,70.4,123.8
Stillaguamish,Puget Sound,South,1991,86,116.03
Stillaguamish,Puget Sound,South,1993,110,240.93
Stillaguamish,Puget Sound,South,1995,208,92.78
Snohomish,Puget Sound,South,1959,85,89.43
Snohomish,Puget Sound,South,1961,50.17,970.71
Snohomish,Puget Sound,South,1963,275.04,326.3
Snohomish,Puget Sound,South,1965,185.02,221.36
Snohomish,Puget Sound,South,1967,95.01,107.03
Snohomish,Puget Sound,South,1969,70.01,189.83
Snohomish,Puget Sound,South,1971,125,200.61
Snohomish,Puget Sound,South,1973,110,122.6
Snohomish,Puget Sound,South,1975,65.75,229.82
Snohomish,Puget Sound,South,1977,125.99,352.09
Snohomish,Puget Sound,South,1979,180.72,185.21
Snohomish,Puget Sound,South,1981,90.1,258.27
Snohomish,Puget Sound,South,1983,198.28,552.55
Snohomish,Puget Sound,South,1985,302.19,224.34
Snohomish,Puget Sound,South,1987,152.42,297.56
Snohomish,Puget Sound,South,1989,80.15,247.11
Snohomish,Puget Sound,South,1991,174,105.48
Snohomish,Puget Sound,South,1993,100,115.26
Snohomish,Puget Sound,South,1995,101.6,108.45
Puyallup,Puget Sound,South,1959,14,35.3
Puyallup,Puget Sound,South,1961,10,114.78
Puyallup,Puget Sound,South,1963,10.22,35.63
Puyallup,Puget Sound,South,1965,25.13,40.22
Puyallup,Puget Sound,South,1967,22.04,22.86
Puyallup,Puget Sound,South,1969,16,63.04
Puyallup,Puget Sound,South,1971,40,31.49
Puyallup,Puget Sound,South,1973,12.19,35.38
Puyallup,Puget Sound,South,1975,11.8,55.19
Puyallup,Washington,South,1977,29.43,102.38
Puyallup,Washington,South,1979,29.48,34.02
Puyallup,Washington,South,1981,12.12,25.34
Puyallup,Washington,South,1983,11.6,53.77
Puyallup,Washington,South,1985,34.1,45.78
Puyallup,Washington,South,1987,34.4,108.41
Puyallup,Washington,South,1989,49.85,23.35
Puyallup,Washington,South,1991,14,12.84
Puyallup,Washington,South,1993,10.07,25.39
Puyallup,Washington,South,1995,17.6,2.89
Hood Canal,Washington,South,1959,30.5,44.39
Hood Canal,Washington,South,1961,36.8,885.31
Hood Canal,Washington,South,1963,503,217.87
Hood Canal,Washington,South,1965,160,452.32
Hood Canal,Washington,South,1967,269,57.84
Hood Canal,Washington,South,1969,42,136.44
Hood Canal,Washington,South,1971,104,67.88
Hood Canal,Washington,South,1973,46.5,17.81
Hood Canal,Washington,South,1975,12.5,77.65
Hood Canal,Washington,South,1977,44,65.93
Hood Canal,Washington,South,1979,37.1,11.06
Hood Canal,Washington,South,1981,6.45,28.55
Hood Canal,Washington,South,1983,25,91.24
Hood Canal,Washington,South,1985,63.8,72.02
Hood Canal,Washington,South,1987,62.1,105.52
Hood Canal,Washington,South,1989,60.8,150.76
Hood Canal,Washington,South,1991,118.2,36.79
Hood Canal,Washington,South,1993,35.33,35.27
Hood Canal,Washington,South,1995,31.29,8.56
Dungeness,Washington,South,1959,40,82.7
Dungeness,Washington,South,1961,70,699.59
Dungeness,Washington,South,1963,400,99.76
Dungeness,Washington,South,1965,75,219.94
Dungeness,Washington,South,1967,95,21.3
Dungeness,Washington,South,1969,14.4,65.64
Dungeness,Washington,South,1971,46,78.94
Dungeness,Washington,South,1973,47,38.07
Dungeness,Washington,South,1975,24.3,76.79
Dungeness,Washington,South,1977,35.7,173.38
Dungeness,Washington,South,1979,50.1,7.15
Dungeness,Washington,South,1981,2.9,6.76
Dungeness,Washington,South,1983,4.89,7.38
Dungeness,Washington,South,1985,4.73,4.88
Dungeness,Washington,South,1987,1.91,23.85
Dungeness,Washington,South,1989,10.9,31.32
Dungeness,Washington,South,1991,9.9,3.14
Dungeness,Washington,South,1993,1.7,11.24
Dungeness,Washington,South,1995,8.25,11.25
Fraser,BC South Coast,South,1957,2242.87,6460
Fraser,BC South Coast,South,1959,1078,1890
Fraser,BC South Coast,South,1961,1092.56,5470
Fraser,BC South Coast,South,1963,1954.04,2320
Fraser,BC South Coast,South,1965,1194.1,12968
Fraser,BC South Coast,South,1967,1831.22,4100
Fraser,BC South Coast,South,1969,1530.91,9800
Fraser,BC South Coast,South,1971,1804.95,6900
Fraser,BC South Coast,South,1973,1754.26,5000
Fraser,BC South Coast,South,1975,1367.09,8400
Fraser,BC South Coast,South,1977,2387.81,14200
Fraser,BC South Coast,South,1979,3560.65,18800
Fraser,BC South Coast,South,1981,4488.34,15300
Fraser,BC South Coast,South,1983,4631.62,18900
Fraser,BC South Coast,South,1985,6460.62,7200
Fraser,BC South Coast,South,1987,3223.52,16700
Fraser,BC South Coast,South,1989,7189.19,23000
Fraser,BC South Coast,South,1991,12059,18000
Fraser,BC South Coast,South,1993,10774.68,12800
Fraser,BC South Coast,South,1995,7291.1,8100
Inner South Coast wo Fraser,BC South Coast,South,1954,297.75,1220.63
Inner South Coast wo Fraser,BC South Coast,South,1956,300.33,1752.57
Inner South Coast wo Fraser,BC South Coast,South,1958,386,509.32
Inner South Coast wo Fraser,BC South Coast,South,1960,165.1,1232.09
Inner South Coast wo Fraser,BC South Coast,South,1962,480.9,1330.97
Inner South Coast wo Fraser,BC South Coast,South,1964,477,4218.87
Inner South Coast wo Fraser,BC South Coast,South,1966,779.93,4582.91
Inner South Coast wo Fraser,BC South Coast,South,1968,878.43,3016.74
Inner South Coast wo Fraser,BC South Coast,South,1970,675.08,1293.57
Inner South Coast wo Fraser,BC South Coast,South,1972,563.77,2468.75
Inner South Coast wo Fraser,BC South Coast,South,1974,918.39,5210.74
Inner South Coast wo Fraser,BC South Coast,South,1976,1432.7,2208.82
Inner South Coast wo Fraser,BC South Coast,South,1978,926.98,2382.83
Inner South Coast wo Fraser,BC South Coast,South,1980,1248.98,689.54
Inner South Coast wo Fraser,BC South Coast,South,1982,504.4,501.1
Inner South Coast wo Fraser,BC South Coast,South,1984,284.62,1678.15
Inner South Coast wo Fraser,BC South Coast,South,1986,1176.89,2610.39
Inner South Coast wo Fraser,BC South Coast,South,1988,1762.71,7176.67
Inner South Coast wo Fraser,BC South Coast,South,1990,3299.77,3318.26
Inner South Coast wo Fraser,BC South Coast,South,1992,2206.5,1439.66
Inner South Coast wo Fraser,BC South Coast,South,1994,1231.72,2375.34
Area 10,BC Central Coast,South,1950,35,60.05
Area 10,BC Central Coast,South,1951,3.5,30.51
Area 10,BC Central Coast,South,1952,35,15.49
Area 10,BC Central Coast,South,1953,15.03,45.4
Area 10,BC Central Coast,South,1954,6,60.27
Area 10,BC Central Coast,South,1955,22.5,19.37
Area 10,BC Central Coast,South,1956,35.03,58.28
Area 10,BC Central Coast,South,1957,7.5,23.18
Area 10,BC Central Coast,South,1958,3.5,32.5
Area 10,BC Central Coast,South,1959,15.03,46.66
Area 10,BC Central Coast,South,1960,3.5,178.06
Area 10,BC Central Coast,South,1961,7.5,11.11
