Year,0-group
1921,1434.344
1922,1176.768
1923,1333.333
1924,353.535
1925,141.414
1926,762.626
1927,1247.475
1928,934.344
1929,196.97
1930,277.778
1931,282.828
1932,101.01
1933,237.374
1934,611.111
1935,40.404
1936,95.96
1937,1454.546
1946,787.879
1947,101.01
1948,156.566
1949,323.232
1950,80.808
1951,247.475
1952,116.162
1953,393.94
1954,525.253
1955,343.434
1956,1101.01
1957,353.535
1958,898.99
1959,464.647
1960,565.657
1961,696.97
1962,1131.313
1963,328.283
1964,484.849
1965,1902
1966,439.394
1967,1631.313
1968,227.273
1969,242.424
1970,469.697
1971,439.394
1972,727.273
1973,1126.263
1974,1000
1975,767.677
1976,398.99
1977,813.131
1978,282.828
1979,232.323
1980,1050.505
1981,358.586
1982,146.465
1983,484.849
1984,101.01
1985,176.768
1986,1075.758
1987,404.041
1988,505.051
1989,5.051
1990,585.859
1991,85.859
1992,202.02
1993,267.677
1994,161.616
1995,171.717
1996,585.859
