 ,Area,Mean,Min,Max,X,Y
1,0,0,0,0,0.326,0.672
2,0,14,14,14,0.34,0.668
3,0,0,0,0,0.351,0.676
4,0,58,58,58,0.358,0.669
5,0,0,0,0,0.371,0.674
6,0,1,1,1,0.371,0.661
7,0,255,255,255,0.418,0.075
8,0,12,12,12,0.453,0.181
9,0,0,0,0,0.48,0.652
10,0,0,0,0,0.517,0.674
11,0,222,222,222,0.527,0.668
12,0,13,13,13,0.535,0.673
13,0,0,0,0,0.783,0.676
14,0,13,13,13,0.818,0.603
15,0,2,2,2,0.853,0.579
16,0,13,13,13,0.886,0.595
17,0,0,0,0,0.92,0.676
18,0,35,35,35,0.952,0.636
19,0,0,0,0,0.326,0.672
20,0,14,14,14,0.34,0.668
21,0,0,0,0,0.351,0.676
22,0,58,58,58,0.358,0.669
23,0,0,0,0,0.371,0.674
24,0,1,1,1,0.371,0.661
25,0,255,255,255,0.418,0.075
26,0,12,12,12,0.453,0.181
27,0,0,0,0,0.48,0.652
28,0,0,0,0,0.517,0.674
29,0,222,222,222,0.527,0.668
30,0,13,13,13,0.535,0.673
31,0,0,0,0,0.783,0.676
32,0,13,13,13,0.818,0.603
33,0,2,2,2,0.853,0.579
34,0,13,13,13,0.886,0.595
35,0,0,0,0,0.92,0.676
36,0,35,35,35,0.952,0.636
37,0,0,0,0,0.961,0.676
38,0,0,0,0,0.176,0.676
