 ,Area,Mean,Min,Max,X,Y
1,0,0,0,0,31.143,23.153
2,0,0,0,0,33.192,22.948
3,0,45,45,45,34.831,22.948
4,0,0,0,0,36.061,24.177
5,0,255,255,255,37.29,22.743
6,0,0,0,0,38.519,23.358
7,0,0,0,0,39.749,25.406
8,0,0,0,0,41.183,25.202
9,0,2,2,2,42.412,24.177
10,0,0,0,0,43.847,23.767
11,0,52,52,52,45.281,22.743
12,0,0,0,0,47.944,26.431
13,0,0,0,0,49.379,24.997
14,0,0,0,0,51.837,24.997
15,0,27,27,27,54.091,26.841
16,0,0,0,0,56.755,26.226
17,0,31,31,31,59.623,24.997
18,0,0,0,0,62.287,26.636
19,0,0,0,0,66.794,27.046
20,0,0,0,0,67.819,28.48
21,0,6,6,6,71.712,25.816
22,0,0,0,0,73.146,27.25
23,0,0,0,0,77.244,27.25
24,0,0,0,0,78.063,28.48
25,0,0,0,0,81.751,54.296
26,0,0,0,0,86.669,61.877
27,0,0,0,0,90.562,62.901
28,0,0,0,0,94.864,62.082
29,0,0,0,0,98.962,62.696
30,0,0,0,0,103.879,64.541
31,0,13,13,13,107.977,62.082
32,0,0,0,0,110.846,61.262
33,0,0,0,0,115.763,60.443
34,0,0,0,0,118.427,58.804
35,0,0,0,0,124.983,59.623
36,0,2,2,2,127.647,58.599
37,0,0,0,0,137.277,61.262
38,0,0,0,0,145.062,57.984
39,0,0,0,0,146.497,60.238
40,0,0,0,0,150.595,57.369
41,0,0,0,0,154.692,56.96
42,0,0,0,0,155.922,54.706
43,0,0,0,0,158.585,49.379
44,0,10,10,10,159.815,50.813
45,0,0,0,0,161.249,48.559
46,0,0,0,0,162.683,47.33
47,0,0,0,0,161.454,113.304
48,0,0,0,0,29.504,113.1
