 ,Area,Mean,Min,Max,X,Y
1,0,0,0,0,0.307,0.426
2,0,0,0,0,0.321,0.527
3,0,0,0,0,0.333,0.728
4,0,0,0,0,0.348,0.8
5,0,25,25,25,0.362,0.899
6,0,33,33,33,0.37,0.767
7,0,0,0,0,0.385,0.71
8,0,0,0,0,0.401,0.757
9,0,1,1,1,0.412,0.683
10,0,64,64,64,0.422,0.412
11,0,0,0,0,0.438,0.428
12,0,0,0,0,0.451,0.393
13,0,0,0,0,0.479,0.409
14,0,0,0,0,0.504,0.409
15,0,0,0,0,0.547,0.502
16,0,0,0,0,0.57,0.512
17,0,0,0,0,0.599,0.516
18,0,0,0,0,0.623,0.496
19,0,0,0,0,0.669,0.504
20,0,0,0,0,0.677,0.613
21,0,0,0,0,0.718,0.681
22,0,0,0,0,0.745,0.72
23,0,56,56,56,0.757,0.753
24,0,0,0,0,0.788,0.827
25,0,0,0,0,0.8,0.632
26,0,0,0,0,0.825,0.613
27,0,0,0,0,0.856,0.704
28,0,0,0,0,0.897,0.794
29,0,0,0,0,0.932,0.496
30,0,0,0,0,0.961,0.442
31,0,0,0,0,1.002,0.409
32,0,31,31,31,1.049,0.549
33,0,0,0,0,1.097,0.582
34,0,0,0,0,1.2,0.65
35,0,117,117,117,1.265,0.428
36,0,0,0,0,1.29,0.436
37,0,5,5,5,1.389,0.395
38,0,26,26,26,1.469,0.953
39,0,0,0,0,1.523,0.809
40,0,9,9,9,1.562,0.93
41,0,0,0,0,1.574,0.916
42,0,0,0,0,1.601,0.739
43,0,0,0,0,1.613,0.733
44,0,0,0,0,1.626,0.354
45,0,0,0,0,1.64,0.337
46,0,0,0,0,1.642,1.08
47,0,0,0,0,0.315,1.082
